,Location,Dis No,Lat,Long
790, Mason,2003-0210-USA,39.36,-84.31
791, Fulton,2003-0210-USA,38.85,-91.95
793, Schuyler,2003-0210-USA,41.45,-97.06
795, Pulaski,2003-0210-USA,37.05,-80.78
796, Massac,2003-0210-USA,37.02,-88.73
797, Alexander,2003-0210-USA,34.63,-92.44
798, Jasper,2003-0210-USA,38.39,-86.93
799, Mercer,2003-0210-USA,41.23,-80.24
800, Warren,2003-0210-USA,42.48,-83.03
802, Perry,2003-0210-USA,32.46,-83.73
805, Crawford,2003-0210-USA,-26.5,151.82
806, Wyandotte,2003-0210-USA,42.21,-83.15
807, Leavenworth,2003-0210-USA,39.31,-94.92
808, Neosho,2003-0210-USA,36.87,-94.37
810, Cherokee,2003-0210-USA,42.75,-95.55
811, Butler,2003-0210-USA,40.86,-79.9
812, Greenwood,2003-0210-USA,39.61,-86.11
813, Osage,2003-0210-USA,43.28,-92.81
815, Allen,2003-0210-USA,33.1,-96.67
816, Douglas,2003-0210-USA,54.15,-4.48
817, Anderson,2003-0210-USA,40.11,-85.68
818, Linn,2003-0210-USA,38.49,-91.85
821, Webster,2003-0210-USA,42.05,-71.88
822,Daviess,2003-0210-USA,37.7,-87.12
823, Mason,2003-0210-USA,39.36,-84.31
824, Lewis,2003-0210-USA,49.88,-96.07
825, Union,2003-0210-USA,40.7,-74.26
826, Henderson,2003-0210-USA,36.04,-114.98
828, Lawrence,2003-0210-USA,38.97,-95.24
829, Cass,2003-0210-USA,38.4,-79.91
830, Platte,2003-0210-USA,43.39,-98.84
831, Clay,2003-0210-USA,33.7,-86.6
833, Greene,2003-0210-USA,44.19,-70.14
835, Camden,2003-0210-USA,39.93,-75.12
836, Lewis,2003-0210-USA,49.88,-96.07
838, Cedar,2003-0210-USA,41.21,-92.53
840, Hickory,2003-0210-USA,35.73,-81.34
841, Dallas,2003-0210-USA,32.78,-96.81
842, Jasper,2003-0210-USA,38.39,-86.93
843, Johnson,2003-0210-USA,36.13,-94.17
844, Newton,2003-0210-USA,42.34,-71.21
849, Putnam,2003-0210-USA,41.92,-71.91
850, Scott,2003-0210-USA,30.24,-92.09
